City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
455,port macquarie,-31.4333,152.9167,77.9,56,0,2.33,AU,1675551368
456,ponta delgada,37.7333,-25.6667,57.92,82,20,6.91,PT,1675551368
457,soure,-0.7167,-48.5233,78.64,84,100,11.86,BR,1675551369
458,iwata,34.7,137.85,41.02,64,0,5.99,JP,1675551369
459,bonfim,3.0833,-59.95,82.47,60,100,6.98,BR,1675551369
460,mitsamiouli,-11.3847,43.2844,81.14,73,98,2.04,KM,1675551370
461,ponta do sol,32.6667,-17.1,63.23,59,22,9.46,PT,1675551370
462,adet,11.2644,37.4888,58.48,45,60,3.96,ET,1675551370
463,pekin,39.9075,116.3972,13.89,34,4,3.27,CN,1675551321
464,makakilo city,21.3469,-158.0858,71.44,80,100,9.22,US,1675551371
465,klaksvik,62.2266,-6.589,40.12,74,50,31.23,FO,1675551371
466,kiboga,0.9161,31.7742,70.92,34,100,1.48,UG,1675551372
467,san policarpo,12.1791,125.5072,78.76,84,100,17.58,PH,1675551372
468,lerwick,60.1545,-1.1494,42.8,68,46,21.74,GB,1675551373
469,nizhniy kuranakh,58.8353,125.4869,-14.58,100,100,1.32,RU,1675551361
470,lorengau,-2.0226,147.2712,83.95,69,100,5.66,PG,1675551373
471,olafsvik,64.8945,-23.7142,36.5,97,100,23.94,IS,1675551110
472,forestville,38.8451,-76.875,31.5,38,0,13.8,US,1675551374
473,aviemore,57.1955,-3.8259,34.48,77,8,8.12,GB,1675551374
474,portland,45.5234,-122.6762,53.1,77,100,7.0,US,1675551374
475,biggar,55.6167,-3.5167,37.29,84,23,5.46,GB,1675551375
476,khasan,42.4308,130.6434,17.24,79,65,3.18,RU,1675551375
477,gumdag,39.2061,54.5906,41.77,67,97,9.37,TM,1675551160
478,lethem,3.3803,-59.7968,81.63,64,95,10.0,GY,1675551376
479,igrim,63.1906,64.4162,3.69,98,100,3.22,RU,1675551376
480,el campo,29.1966,-96.2697,64.69,59,0,11.5,US,1675551377
481,bhadrak,21.0633,86.5054,59.86,65,63,3.91,IN,1675551377
482,bowen,-20.0167,148.2333,80.56,87,100,7.0,AU,1675551153
483,suleja,9.1758,7.1808,77.99,18,63,5.14,NG,1675551377
484,constitucion,-35.3333,-72.4167,64.06,84,26,3.94,CL,1675551378
485,cherskiy,68.75,161.3,-36.9,100,97,3.76,RU,1675551378
486,zhezkazgan,47.8043,67.7144,14.58,96,100,4.7,KZ,1675551379
487,santa isabel do rio negro,-0.4139,-65.0192,74.75,96,95,2.57,BR,1675551375
488,wawa,9.9022,4.4192,84.47,18,32,6.46,NG,1675551196
489,wahiawa,21.5028,-158.0236,69.62,79,75,0.0,US,1675551379
490,upata,8.0086,-62.3989,76.19,68,86,7.7,VE,1675551380
491,nisia floresta,-6.0911,-35.2086,81.41,81,94,9.82,BR,1675551380
492,cap malheureux,-19.9842,57.6142,77.47,83,97,3.0,MU,1675551380
